I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.47041756608283986,0.0,0.0013170234,0.0,0.005,0.0013285090285857955,0.0,0.0,0.005303030303030303,MS4A1-1,HCC22-088-P3-S1_A,MS4A1
0.4597132246980564,0.0,0.0013170234,0.0,0.005,0.0013995135623328398,0.0,0.0,0.005303030303030303,CD3E-1,HCC22-088-P3-S1_A,CD3E
0.45560295156824765,0.0,0.0013170234,0.0,0.005,0.0015311621860874935,0.0,0.0,0.005303030303030303,KRT5-1,HCC22-088-P3-S1_A,KRT5
0.45216214661953835,0.0,0.0013170234,0.0,0.005,0.0010292992619849433,0.0,0.0,0.005303030303030303,EPCAM-1,HCC22-088-P3-S1_A,EPCAM
0.4392089829518432,0.0,0.0013170234,0.0,0.005,0.0014753799300773773,0.0,0.0,0.005303030303030303,mouse_IgG1k,HCC22-088-P3-S1_A,mouse_IgG1k
0.4251016831130272,0.0,0.0013170234,0.0,0.005,0.001435722231638943,0.0,0.0,0.005303030303030303,ITGAM-1,HCC22-088-P3-S1_A,ITGAM
0.42402464766206366,0.0,0.0013170234,0.0,0.005,0.0015772008404113826,0.0,0.0,0.005303030303030303,CD19-1,HCC22-088-P3-S1_A,CD19
0.4037000859317606,0.0,0.0013170234,0.0,0.005,0.0014467929747311095,0.0,0.0,0.005303030303030303,FCGR3A-1,HCC22-088-P3-S1_A,FCGR3A
0.32422563393488213,0.0,0.0013170234,0.0,0.005,0.0013989315446820071,0.0,0.0,0.005303030303030303,ITGAX-1,HCC22-088-P3-S1_A,ITGAX
0.2939454924296408,1.1102230246251565e-16,0.0013170234,0.0,0.005,0.0011565651126823411,1.339924340064844e-16,0.0,0.005303030303030303,mouse_IgG2a,HCC22-088-P3-S1_A,mouse_IgG2a
0.21800538484363988,6.267071306353955e-10,0.0013170234,2.786659791809143e-11,0.005,0.0010942738304752805,7.311583190746281e-10,3.2511030904440005e-11,0.005303030303030303,SDC1-1,HCC22-088-P3-S1_A,SDC1
