sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P4-S2_1i_rep,CD68,0.019439688389200044,0.012110630359439566,2590
HCC22-088-P4-S2_1i_rep,CD14,-0.0034858553722819305,-0.002891644673396642,2590
HCC22-088-P4-S2_1i_rep,CD19,-0.024391642520179082,-0.02798939288059082,2590
HCC22-088-P4-S2_1i_rep,MS4A1,0.0012839977745010452,0.014442214539820248,2590
HCC22-088-P4-S2_1i_rep,EPCAM,0.06481981620202402,0.0748601265588598,2590
HCC22-088-P4-S2_1i_rep,PECAM1,0.011203011248482555,0.018309385065825887,2590
HCC22-088-P4-S2_1i_rep,VIM,0.0631371144705845,0.15569630279886085,2590
HCC22-088-P4-S2_1i_rep,KRT5,0.05777972031989616,0.051037381407143846,2590
HCC22-088-P4-S2_1i_rep,PCNA,0.04731185618739729,0.049811395611500296,2590
HCC22-088-P4-S2_1i_rep,CD274,0.019522563997431852,0.02332636039683648,2590
HCC22-088-P4-S2_1i_rep,PDCD1,0.01075234912120819,0.011286475914750325,2590
HCC22-088-P4-S2_1i_rep,ACTA2,0.13326840140247628,0.13519551158132637,2590
HCC22-088-P4-S2_1i_rep,BCL2,0.05707292783015472,0.06166234146054203,2590
HCC22-088-P4-S2_1i_rep,CD163,0.0008833392553003992,0.004895064483631276,2590
HCC22-088-P4-S2_1i_rep,CR2,,,2590
HCC22-088-P4-S2_1i_rep,PAX5,-0.02499872216796968,-0.0284913623382176,2590
HCC22-088-P4-S2_1i_rep,SDC1,0.0438883049841708,0.0448997440309971,2590
HCC22-088-P4-S2_1i_rep,FCGR3A,0.03680449951922053,0.035462818777918174,2590
HCC22-088-P4-S2_1i_rep,ITGAX,0.049714199608457466,0.05861951894601383,2590
HCC22-088-P4-S2_1i_rep,ITGAM,-0.0034121807066176124,0.0009655034128401097,2590
HCC22-088-P4-S2_1i_rep,CCR7,-0.020387600027231334,-0.025149049825948615,2590
HCC22-088-P4-S2_1i_rep,CD27,-0.021246315855204062,-0.023215928345717434,2590
HCC22-088-P4-S2_1i_rep,CXCR5,,,2590
HCC22-088-P5-S1,CD3E,0.03717503888402157,0.02190798271925888,1170
HCC22-088-P5-S1,CD4,-0.12464682041038516,-0.13424399277511898,1170
HCC22-088-P5-S1,CD8A,0.023538861348390935,0.018882457028277684,1170
HCC22-088-P5-S1,CD68,0.01775098104949064,0.027390342855265343,1170
HCC22-088-P5-S1,CD14,-0.004160099714104554,-0.003827575106651477,1170
HCC22-088-P5-S1,CD19,-0.05245771177845598,-0.06205581659115826,1170
HCC22-088-P5-S1,MS4A1,-0.015342887387395563,-0.0560852890887225,1170
HCC22-088-P5-S1,EPCAM,0.18028595462937358,0.18744222507287103,1170
HCC22-088-P5-S1,PECAM1,0.10812846791609552,0.10888864834243434,1170
HCC22-088-P5-S1,VIM,0.2951311629895944,0.45308593066909575,1170
HCC22-088-P5-S1,KRT5,0.13233153982890994,0.13181314509568834,1170
HCC22-088-P5-S1,PCNA,0.07154015156663132,0.09839534874511045,1170
HCC22-088-P5-S1,CD274,0.03075430573200416,0.03767770990283731,1170
HCC22-088-P5-S1,PDCD1,0.032505485201684815,0.036067220094719306,1170
HCC22-088-P5-S1,ACTA2,0.1818997122242022,0.1806755820263325,1170
HCC22-088-P5-S1,BCL2,0.18991893300976564,0.1993945500595099,1170
HCC22-088-P5-S1,CD163,-0.04125896359968317,-0.04387668522887115,1170
HCC22-088-P5-S1,CR2,,,1170
HCC22-088-P5-S1,PAX5,-0.022214471714521764,-0.021605693670185992,1170
HCC22-088-P5-S1,SDC1,0.08425088092052976,0.11147234948726813,1170
HCC22-088-P5-S1,FCGR3A,0.018328909952412382,-0.010293032531338252,1170
HCC22-088-P5-S1,ITGAX,-0.02203272385146318,-0.01874958402756906,1170
HCC22-088-P5-S1,ITGAM,-0.01062412935091022,-0.017668173336089877,1170
HCC22-088-P5-S1,CCR7,0.0022343893188184975,0.011127770812012307,1170
HCC22-088-P5-S1,CD27,-0.034194283241236814,-0.03491763814697078,1170
HCC22-088-P5-S1,CXCR5,-0.004836717959625618,-0.03177320125913639,1170
HCC22-088-P5-S2,CD3E,-0.033120683186816116,-0.03758949302287068,3598
HCC22-088-P5-S2,CD4,-0.04418829656670934,-0.061181495021947786,3598
HCC22-088-P5-S2,CD8A,-0.005066638438769828,0.015388555887755232,3598
HCC22-088-P5-S2,CD68,0.040042203236666365,0.021474211935937,3598
HCC22-088-P5-S2,CD14,-0.021234150244063006,-0.02815249733222894,3598
HCC22-088-P5-S2,CD19,-0.009150558879405229,-0.009583248648936876,3598
HCC22-088-P5-S2,MS4A1,0.013008478962622375,-0.0018147274257599014,3598
HCC22-088-P5-S2,EPCAM,-0.02571196260792097,-0.003948971417118231,3598
HCC22-088-P5-S2,PECAM1,0.030645677564990967,0.0070956896843822,3598
HCC22-088-P5-S2,VIM,0.06359672010779274,0.2423118548341934,3598
HCC22-088-P5-S2,KRT5,0.14295425165651354,0.17115850829956933,3598
HCC22-088-P5-S2,PCNA,0.022733185414756732,0.03527209736166267,3598
HCC22-088-P5-S2,CD274,0.007391106428547513,-0.0012489720483794121,3598
HCC22-088-P5-S2,PDCD1,0.014148420507450717,-0.00785341815414304,3598
HCC22-088-P5-S2,ACTA2,0.176775290450906,0.19232588305912876,3598
HCC22-088-P5-S2,BCL2,-0.011450244181257657,-0.0023466339275896742,3598
HCC22-088-P5-S2,CD163,-0.012441233397076581,-0.016577621174407156,3598
