gene,mean,median,I_Q25,count
HMOX1,0.16896109733384362,0.11198059411333638,0.01284565526229556,14
HTRA1,0.1689194038562875,0.133914487794143,0.10102702456837742,14
TBC1D9,0.16856926950097423,0.13249434133222227,0.09243614329265806,14
PDCD4,0.16795930097251752,0.16002293085025354,0.10876601579969564,14
CFB,0.16708630702994445,0.18828395674101894,0.04998167983198112,14
SLC44A4,0.16670180410113616,0.15267022559520385,0.08063697862349281,14
RHOB,0.16656218876591727,0.17796850920455115,0.11774996540150053,14
IGFBP7,0.16588883494377105,0.1424888594986606,0.10508532824195357,14
TRAF4,0.16585899096765996,0.19527678460198214,0.05761701358781518,14
KIAA1522,0.16581274586086137,0.1670566492872538,0.08299054567070868,14
TNFSF10,0.1656970341909005,0.14493355404889913,0.08433213232030679,14
G0S2,0.16544127586561047,0.14327986239696497,0.11715369707219798,14
SDC4,0.16510195607619862,0.17658381768539527,0.08840805869606855,14
BGN,0.16479921795509248,0.1125172793690283,0.06824220395288824,14
ELN,0.1645996210459662,0.16245624337765624,0.04418938410124555,14
OAZ1,0.16403984433754756,0.16229699545379123,0.10917830324076624,14
VMP1,0.16385654949123013,0.17414726093074084,0.09475134396455301,14
RALGPS2,0.16378569435271872,0.14534596237213812,0.09612416988565933,14
CLU,0.1635938895314096,0.1577875275641587,0.13617989317241758,14
DEGS2,0.1633532766121241,0.12013663618685382,0.04688871906279527,14
ACTB,0.16321437813017822,0.15884224780875286,0.10726917557498242,14
S100A6,0.16257609105969117,0.19224101522090475,0.1154630618516046,14
APOC1,0.16219408154000783,0.11399287922294954,0.06584589319521086,14
GOLM1,0.16208323802789545,0.16598629045430294,0.09249231674327787,14
COL12A1,0.16113658947291773,0.16856397532649195,0.0632063073149918,14
TIMP3,0.16044840238689065,0.10801761193690826,0.06786235782079811,14
HBA2,0.1596478856232719,0.1517278790546595,0.0654181339532087,14
CCL28,0.15963015706899247,0.12645475542238271,0.03490483515957338,14
ACTA2,0.15857131589101953,0.15611587780863276,0.0893690278835276,14
CXCL10,0.15848113696252394,0.08080024521275461,0.028518355790571118,14
ITPRID2,0.1578042919718216,0.0684493097772074,0.007725661326229968,14
SLC38A1,0.1574289504635564,0.12555918608364836,0.08346204625079207,14
PLK2,0.15730968017704167,0.09834341839675599,0.05100383121042312,14
DENND1B,0.15725808603623434,0.11809275687773657,0.08426235077995965,14
ACTG1,0.1566635745667722,0.13630514179748984,0.09793598196567978,14
MMP11,0.156003916843483,0.11985231472699152,0.10054493880944029,14
GPNMB,0.15568978931870028,0.13256412468765308,0.06458473105874993,14
